x,y
458490.8,1521917
458805.8,1522102
459107.5,1522289
459542.3,1522498
459690.7,1522575
459914.6,1522692
460308.4,1522873
460543.1,1522962
460949.7,1523156
461242.9,1523251
461677.7,1523413
461931.8,1523492
462290.9,1523622
462646.6,1523740
463025.1,1523841
463431.7,1523962
463724.7,1524019
463887,1524051
464331.2,1524105
464645.9,1524162
464817.8,1524192
464983.2,1524223
465201.6,1524236
465396.2,1524260
465587.6,1524303
465768.1,1524303
465897.7,1524309
466151.7,1524295
466326.8,1524282
466567.8,1524286
466860.8,1524274
467197,1524231
467429.3,1524220
467680,1524198
467892.9,1524180
468146.9,1524154
468464.6,1524106
468674.2,1524063
468864.5,1524007
469218.9,1523920
469552.8,1523852
469774.3,1523793
470075.8,1523700
470351.3,1523596
470572.9,1523527
470794.3,1523448
470984.5,1523351
471174.7,1523244
471392.9,1523117
471573.3,1523023
471734.3,1522929
471926.5,1522816
472129.6,1522696
472359.7,1522553
472533.6,1522434
472637.2,1522347
472794.9,1522214
472921.4,1522102
473028.2,1522012
473248.5,1521794
473409.6,1521667
473649.3,1521433
473876.1,1521205
474082.2,1520926
474126.4,1520836
474354.2,1520440
474492.2,1520244
474535.5,1520126
474614.2,1520029
474757.1,1519993
474874.7,1519994
474941.9,1519995
475749.3,1519985
476108.3,1519998
476276.9,1520002
476435.8,1520000
476636.8,1519986
476754.9,1520054
476886.8,1520152
477088.1,1520257
477257.8,1520395
477418,1520524
477622.4,1520659
477808.5,1520809
477991.3,1520963
478292,1521132
478551.5,1521291
478788.4,1521454
479012.3,1521585
479233,1521726
479505.3,1521882
479722.9,1521991
479953.2,1522123
480138.2,1522244
480468,1522415
480627,1522494
481273.6,1522849
481465.1,1522943
481637.9,1523046
481884.6,1523180
482088.9,1523306
482321.3,1523410
482647.9,1523541
483050.2,1523763
483166,1523827
483347.5,1523927
483603.8,1524062
484047.2,1524251
484497.9,1524441
484900.2,1524631
485344.5,1524823
485816.9,1525022
486247.2,1525207
486621.2,1525372
487036.4,1525528
487077.6,1525543
487553.1,1525729
487940.2,1525922
488683.9,1526229
489129.3,1526427
489552,1526608
490059,1526787
490445.9,1526946
490663.1,1527039
490940,1527132
491256.5,1527246
491485.8,1527333
491786.2,1527445
492047.8,1527536
492286.6,1527634
492478,1527691
492589.3,1527725
492672.5,1527792
492751.5,1527786
493091.8,1527765
493396.6,1527692
493866.7,1527626
494200.7,1527572
